date.added.to.catalog	pubmedid	first.author	date	journal	link	study	disease.trait	initial.sample.size	replication.sample.size	region	chr.id	chr.pos	reported.genes	mapped.gene	upstream.gene.id	downstream.gene.id	snp.gene.ids	upstream.gene.distance	downstream.gene.distance	strongest.snp.risk.allele	snps	merged	snp.id.current	context	intergenic	risk.allele.frequency	pvalue	pvalue.mlog	p.value.text	OR.or.beta	95%.ci.text	platform.snp.passing.qc
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	6q25.1	6	151627231	ESR1	LOC105378058			105378058			rs2046210-A	rs2046210		2046210	intergenic_variant	0	0.423	5.00E-16	15.30103		1.15	[1.11-1.19]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	10q21.2	10	62518923	ZNF365	ZNF365			22891			rs10995190-G	rs10995190		10995190	intron_variant	0	0.846	1.00E-07	7		1.12	[1.08-1.18]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	12p11.22	12	28002147	PTHLH	PTHLH - LOC105369710	5744	105369710		29416	34517	rs10771399-T	rs10771399		10771399	intergenic_variant	0	0.895	2.00E-12	11.69897		1.2	[1.15-1.27]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	16q12.1	16	52552429	TOX3	CASC16			643714			rs3803662-T	rs3803662		3803662	non_coding_transcript_exon_variant	0	0.267	6.00E-13	12.22184875		1.14	[1.10-1.18]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	19p13.11	19	17278895	MERIT40	BABAM1			29086			rs8170-A	rs8170		8170	synonymous_variant	0	0.191	9.00E-13	12.04575749		1.15	[1.11-1.20]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	1p36.22	1	10506158	PEX14	PEX14			5195			rs616488-A	rs616488		616488	intron_variant	0	0.665	1.00E-08	8		1.1	[1.06-1.14]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	5q33.3	5	158817075	EBF1	EBF1			1879			rs1432679-C	rs1432679		1432679	intron_variant	0	0.435	7.00E-06	5.15490196		1.08	[1.04-1.11]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	12q22	12	95633983	NTN4	USP44 - PGAM1P5	84101	100132594		82454	15272	rs17356907-A	rs17356907		17356907	intron_variant	0	0.702	9.00E-06	5.045757491		1.09	[1.04-1.12]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	13q13.1	13	32398489	"BRCA2, N4BP2L1"	BRCA2			675			rs11571833-T	rs11571833		11571833	stop_gained	0	0.496	6.00E-06	5.22184875		1.52	[1.31-1.77]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	16q12.2	16	53779455	"FTO, MIR1972-2"	FTO			79068			rs17817449-T	rs17817449		17817449	intron_variant	0	0.526	6.00E-07	6.22184875		1.09	[1.05-1.12]	Illumina [NR]
9/12/2013	23535733	Garcia-Closas M	4/1/2013	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23535733	Genome-wide association studies identify four ER negative-specific breast cancer risk loci.	Breast cancer	"4,193 European ancestry cases, 35,194 European ancestry controls"	"6,514 European ancestry cases, 41,455 European ancestry controls"	22q13.1	22	40480230	MKL1	MKL1			57591			rs6001930-C	rs6001930		6001930	intron_variant	0	0.107	2.00E-06	5.698970004		1.14	[1.08-1.20]	Illumina [NR]
6/16/2008	18326623	Gold B	3/11/2008	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/18326623	Genome-wide association study provides evidence for a breast cancer risk locus at 6q22.33.	Breast cancer	"249 Ashkenazi Jewish non-BRCA1/2 carriers cases, 299 Ashkenazi Jewish non-BRCA1/2 carriers controls"	"1,193 Ashkenazi Jewish non-BRCA1/2 carriers  cases,1,166 Ashkenazi Jewish non-BRCA1/2 carriers controls"	6q22.33	6	127279485	"ECHDC1, RNF146"	RNF146			81847			rs2180341-G	rs2180341		2180341	intron_variant	0	0.21	3.00E-08	7.522878745		1.41	[1.25-1.59]	Affymetrix [150080]
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	2q31.1	2	176177905	"HOXD1, HOXD3"	HAGLR			401022			rs2072590-T	rs2072590		2072590	non_coding_transcript_exon_variant	0	NR	5.00E-14	13.30103		1.16	[1.12-1.21]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	3q25.31	3	156679960	TIPARP	TIPARP			25976			rs2665390-C	rs2665390		2665390	intron_variant	0	NR	3.00E-07	6.522878745		1.19	[1.11-1.27]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	8q24.21	8	128531703	"MYC, THEM75"	LINC00824			101927774			rs10088218-G	rs10088218		10088218	intron_variant	0	NR	3.00E-09	8.522878745		1.19	[1.12-1.25]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	17q21.32	17	48334138	SKAP1	SKAP1			8631			rs9303542-G	rs9303542		9303542	intron_variant	0	NR	1.00E-06	6		1.11	[1.06-1.16]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	1p36.12	1	22164231	NR	LOC105376850			105376850			rs7521902-?	rs7521902		7521902	intergenic_variant	0	NR	5.00E-06	5.301029996		1.12	[1.07-1.18]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	11p14.3	11	25186158	NR	LUZP2 - LOC105376596	338645	105376596		103518	548628	rs12794435-?	rs12794435		12794435	intergenic_variant	0	NR	5.00E-06	5.301029996		1.16	[1.09-1.23]	Illumina [2056878] (imputed)
10/12/2010	20852632	Goode EL	9/19/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	"1,768 European ancestry cases, 2,354 European ancestry controls"	"8,709 European ancestry cases, 51,764 European ancestry controls"	17q21.32	17	48279758	NR	SKAP1			8631			rs2084881-?	rs2084881		2084881	intron_variant	0	NR	2.00E-06	5.698970004		1.12	[1.07-1.18]	Illumina [2056878] (imputed)
6/16/2008	18264098	Gudmundsson J	2/10/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18264098	Common sequence variants on 2p15 and Xp11.22 confer susceptibility to prostate cancer.	Prostate cancer	"1,854 European ancestry cases, 21,372 European ancestry controls"	"8,239 European ancestry cases, 7,590 European ancestry controls"	Xp11.22	X	51486831	"LOC340602, NUDT10, NUDT11"	CXorf67 - NUDT11	340602	55190		77993	3180	rs5945572-A	rs5945572		5945572	downstream_gene_variant	0	0.35	4.00E-13	12.39794001		1.23	[1.16-1.30]	Illumina [310520]
6/16/2008	18264098	Gudmundsson J	2/10/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18264098	Common sequence variants on 2p15 and Xp11.22 confer susceptibility to prostate cancer.	Prostate cancer	"1,854 European ancestry cases, 21,372 European ancestry controls"	"8,239 European ancestry cases, 7,590 European ancestry controls"	2p15	2	62904596	EHBP1	EHBP1			23301			rs721048-A	rs721048		721048	intron_variant	0	0.19	8.00E-09	8.096910013		1.15	[1.10-1.21]	Illumina [310520]
6/16/2008	17603485	Gudmundsson J	7/1/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17603485	"Two variants on chromosome 17 confer prostate cancer risk, and the one in TCF2 protects against type 2 diabetes."	Prostate cancer	"1,501 European ancestry cases, 11,290 European ancestry controls"	"1,992 European ancestry cases, 3,058 European ancestry controls"	17q12	17	37738049	TCF2	HNF1B			6928			rs4430796-A	rs4430796		4430796	intron_variant	0	0.49	1.00E-11	11		1.22	[1.15-1.30]	Illumina [310520]
6/16/2008	17603485	Gudmundsson J	7/1/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17603485	"Two variants on chromosome 17 confer prostate cancer risk, and the one in TCF2 protects against type 2 diabetes."	Prostate cancer	"1,501 European ancestry cases, 11,290 European ancestry controls"	"1,992 European ancestry cases, 3,058 European ancestry controls"	17q24.3	17	71112612	intergenic	CASC17			101928165			rs1859962-G	rs1859962		1859962	intron_variant	0	0.46	3.00E-10	9.522878745		1.2	[1.14-1.27]	Illumina [310520]
6/16/2008	17401366	Gudmundsson J	4/1/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17401366	Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.	Prostate cancer	"1,453 European ancestry cases, 3,064 European ancestry controls"	"1,210 European ancestry cases, 2,445 European ancestry controls, 373 African American cases, 372 African American controls"	8q24.21	8	127112671	intergenic	PRNCR1 - LOC105375752	101867536	105375752		20076	27413	rs16901979-A	rs16901979		16901979	intergenic_variant	0	0.03	1.00E-12	12	(EA)	1.79	[1.53-2.11]	Illumina [316515]
6/16/2008	17401366	Gudmundsson J	4/1/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17401366	Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.	Prostate cancer	"1,453 European ancestry cases, 3,064 European ancestry controls"	"1,210 European ancestry cases, 2,445 European ancestry controls, 373 African American cases, 372 African American controls"																1	0.02 (EA)	3.00E-15	14.52287875	(EA)	2.1	[1.75-2.53]	Illumina [316515]
6/16/2008	17401366	Gudmundsson J	4/1/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17401366	Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.	Prostate cancer	"1,453 European ancestry cases, 3,064 European ancestry controls"	"1,210 European ancestry cases, 2,445 European ancestry controls, 373 African American cases, 372 African American controls"	8q24.21	8	127472793	intergenic	CASC8			727677			rs1447295-A	rs1447295		1447295	intron_variant	0	0.09	6.00E-18	17.22184875		1.6	[1.43-1.77]	Illumina [316515]
2/28/2009	19198613	Gudmundsson J	2/6/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198613	Common variants on 9q22.33 and 14q13.3 predispose to thyroid cancer in European populations.	Thyroid cancer	"192 European ancestry cases, 37,196 European ancestry controls"	"432 European ancestry cases, 1,727 European ancestry controls"	9q22.33	9	97793827	FOXE1	"LOC105376169, PTCSC2"			"105376169, 101928337"			rs965513-A	rs965513		965513	intergenic_variant	0	0.34	2.00E-27	26.69897		1.75	[1.59-1.94]	Illumina [304083]
2/28/2009	19198613	Gudmundsson J	2/6/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198613	Common variants on 9q22.33 and 14q13.3 predispose to thyroid cancer in European populations.	Thyroid cancer	"192 European ancestry cases, 37,196 European ancestry controls"	"432 European ancestry cases, 1,727 European ancestry controls"	14q13.3	14	36180040	NKX2-1	PTCSC3 - LOC101927199	100886964	101927199		3389	14165	rs944289-T	rs944289		944289	upstream_gene_variant	0	0.57	2.00E-09	8.698970004		1.37	[1.24-1.52]	Illumina [304083]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	3q21.3	3	128319530	intergenic	EEFSEC			60678			rs10934853-A	rs10934853		10934853	intron_variant	0	0.28	3.00E-10	9.522878745		1.12	[1.08-1.16]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	8q24.21	8	127310936	intergenic	"CASC8, CASC21"			"727677, 103021164"			rs445114-T	rs445114		445114	intron_variant	0	0.64	5.00E-10	9.301029996		1.14	[1.10-1.19]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	19q13.2	19	38244973	intergenic	DPF1 - PPP1R14A	8193	94274		15259	6264	rs8102476-C	rs8102476		8102476	intron_variant	0	0.54	2.00E-11	10.69897		1.12	[1.08-1.15]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	11q13.3	11	69211113	intergenic	LOC105369366 - LOC105369367	105369366	105369367		33137	17636	rs11228565-A	rs11228565		11228565	intergenic_variant	0	0.2	7.00E-12	11.15490196		1.23	[1.16-1.31]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	8q24.21	8	127112671	intergenic	PRNCR1 - LOC105375752	101867536	105375752		20076	27413	rs16901979-A	rs16901979		16901979	intergenic_variant	0	0.04	3.00E-14	13.52287875		1.8	[1.55-2.09]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	17q12	17	37738049	intergenic	HNF1B			6928			rs4430796-A	rs4430796		4430796	intron_variant	0	0.52	8.00E-06	5.096910013		1.19	[1.10-1.28]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	8q24.21	8	127308101	intergenic	"CASC21, CASC8"			"103021164, 727677"			rs16902094-G	rs16902094		16902094	intron_variant	0	0.15	6.00E-15	14.22184875		1.21	[1.15-1.26]	Illumina [310520]
10/5/2009	19767754	Gudmundsson J	9/20/2009	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	"Up to 1,968 European ancestry cases, 35,382 European ancestry controls"	"Up to 11,806 European ancestry cases, 12,387 European ancestry controls"	8q24.21	8	127472793	intergenic	CASC8			727677			rs1447295-A	rs1447295		1447295	intron_variant	0	0.11	2.00E-19	18.69897		1.58	[1.43-1.74]	Illumina [310520]
2/9/2012	22267200	Gudmundsson J	1/22/2012	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22267200	Discovery of common variants associated with low TSH levels and thyroid cancer risk.	Thyroid cancer	"27,758 European ancestry individuals"	"1,156 European ancestry cases, up to 42,617 European ancestry controls"	2q35	2	217445617	DIRC3	DIRC3			729582			rs966423-C	rs966423		966423	intron_variant	0	0.442	1.00E-09	9		1.34	[1.22-1.47]	Illumina [~ 16000000] (imputed)
2/9/2012	22267200	Gudmundsson J	1/22/2012	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22267200	Discovery of common variants associated with low TSH levels and thyroid cancer risk.	Thyroid cancer	"27,758 European ancestry individuals"	"1,156 European ancestry cases, up to 42,617 European ancestry controls"	8p12	8	32574851	NRG1	NRG1			3084			rs2439302-G	rs2439302		2439302	intron_variant	0	0.351	2.00E-09	8.698970004		1.36	[1.23-1.50]	Illumina [~ 16000000] (imputed)
2/9/2012	22267200	Gudmundsson J	1/22/2012	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22267200	Discovery of common variants associated with low TSH levels and thyroid cancer risk.	Thyroid cancer	"27,758 European ancestry individuals"	"1,156 European ancestry cases, up to 42,617 European ancestry controls"	14q13.3	14	36269155	MBIP	LOC101927199 - LOC102723418	101927199	102723418		33793	4165	rs116909374-T	rs116909374		116909374	regulatory_region_variant	0	0.017	5.00E-11	10.30103		2.09	[1.68-2.60]	Illumina [~ 16000000] (imputed)
5/15/2015	23104005	Gudmundsson J	10/28/2012	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23104005	A study based on whole-genome sequencing yields a rare variant at 8q24 associated with prostate cancer.	Prostate cancer	"5,141 European ancestry cases, 54,444 European ancestry controls"	"Up to 5,470 European ancestry cases, up to 7,583 European ancestry controls"	8q24.21	8	127179427	HOXB13	LOC105375752 - CASC19	105375752	103021165		35277	8358	rs188140481-A	rs188140481		188140481	regulatory_region_variant	0	0.054	6.00E-34	33.22184875		2.9	[2.44-3.44]	Illumina [~ 32500000] (imputed)
6/3/2011	21602798	Haiman CA	5/22/2011	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602798	Genome-wide association study of prostate cancer in men of African ancestry identifies a susceptibility locus at 17q21.	Prostate cancer	"3,425 African American cases, 3,290 African American controls"	"1,500 African American/Afro-Caribbean cases, 1,908 African American/Afro-Caribbean controls, 344 Sub-Saharan African ancestry cases, 1,361 Sub-Saharan African ancestry controls"	17q21.33	17	49359387	ZNF652	ZNF652			22834			rs7210100-?	rs7210100		7210100	intron_variant	0	0.05	3.00E-13	12.52287875		1.51	[1.35-1.69]	Illumina [10471986]
11/24/2011	22037553	Haiman CA	10/30/2011	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22037553	A common variant at the TERT-CLPTM1L locus is associated with estrogen receptor-negative breast cancer.	Breast cancer	"1,004 African American cases, 2,745 African American controls,1,718 European ancestry cases, 3,670 European ancestry controls"	"2,292 European ancestry cases, 16,901 European ancestry controls"	5p15.33	5	1279675	TERT	TERT			7015			rs10069690-T	rs10069690		10069690	intron_variant	0	0.26	1.00E-10	10		1.18	[1.13-1.25]	Illumina [3154485] (imputed)
10/26/2015	25824743	Haryono SJ	1/1/2015	Asian Pac J Cancer Prev	www.ncbi.nlm.nih.gov/pubmed/25824743	A Pilot Genome-wide Association Study of Breast Cancer Susceptibility Loci in Indonesia.	Breast cancer	"89 Indonesian ancestry cases, 46 Indonesian ancestry controls"	NA	18p11.22	18	8716323	SOGA2	MTCL1			23255			rs2111836-G	rs2111836		2111836	intron_variant	0	0.22	7.00E-06	5.15490196		1.32	[1.17-1.44]	Affymetrix [292887]
10/26/2015	25824743	Haryono SJ	1/1/2015	Asian Pac J Cancer Prev	www.ncbi.nlm.nih.gov/pubmed/25824743	A Pilot Genome-wide Association Study of Breast Cancer Susceptibility Loci in Indonesia.	Breast cancer	"89 Indonesian ancestry cases, 46 Indonesian ancestry controls"	NA	2p12	2	79716982	CTNNA2	CTNNA2			1496			rs13025833-A	rs13025833		13025833	intron_variant	0	0.52	1.00E-07	7		1.2	[1.13-1.33]	Affymetrix [292887]
12/1/2008	19011631	Houlston RS	11/16/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19011631	Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.	Colorectal cancer	"1,902 European ancestry cases, 1,929 European ancestry controls"	"18,284 European ancestry cases, 18,926 European ancestry controls"	19q13.11	19	33041394	RHPN2	RHPN2			85415			rs10411210-C	rs10411210		10411210	intron_variant	0	0.9	5.00E-09	8.301029996		1.15	[1.10-1.20]	Illumina [up to 548586]
12/1/2008	19011631	Houlston RS	11/16/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19011631	Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.	Colorectal cancer	"1,902 European ancestry cases, 1,929 European ancestry controls"	"18,284 European ancestry cases, 18,926 European ancestry controls"	20p12.3	20	6423634	intergenic	LOC149844 - CASC20	149844	101929244		208295	3098	rs961253-A	rs961253		961253	intergenic_variant	0	0.36	2.00E-10	9.698970004		1.12	[1.08-1.16]	Illumina [up to 548586]
12/1/2008	19011631	Houlston RS	11/16/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19011631	Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.	Colorectal cancer	"1,902 European ancestry cases, 1,929 European ancestry controls"	"18,284 European ancestry cases, 18,926 European ancestry controls"	16q22.1	16	68787043	CDH1	CDH1			999			rs9929218-G	rs9929218		9929218	intron_variant	0	0.29	1.00E-08	8		1.1	[1.06-1.12]	Illumina [up to 548586]
12/1/2008	19011631	Houlston RS	11/16/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19011631	Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.	Colorectal cancer	"1,902 European ancestry cases, 1,929 European ancestry controls"	"18,284 European ancestry cases, 18,926 European ancestry controls"	14q22.2	14	53944201	BMP4	LOC105370504 - MIR5580	105370504	100847076		60852	4226	rs4444235-C	rs4444235		4444235	downstream_gene_variant	0	0.46	8.00E-10	9.096910013		1.11	[1.08-1.15]	Illumina [up to 548586]
12/9/2010	20972440	Houlston RS	10/24/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33."	Colorectal cancer	"3,334 European ancestry cases, 4,628 European ancestry controls"	"14,851 European ancestry cases, 15,569 European ancestry controls"	1q41	1	221872104	DUSP10	LOC101929771 - LOC105372950	101929771	105372950		31438	41658	rs6691170-T	rs6691170		6691170	intergenic_variant	0	NR	1.00E-09	9		1.06	[1.03-1.09]	Illumina [up to 550000] (imputed)
12/9/2010	20972440	Houlston RS	10/24/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33."	Colorectal cancer	"3,334 European ancestry cases, 4,628 European ancestry controls"	"14,851 European ancestry cases, 15,569 European ancestry controls"	3q26.2	3	169774313	MYNN	MYNN			55892			rs10936599-C	rs10936599		10936599	synonymous_variant	0	NR	3.00E-08	7.522878745		1.04	[1.04-1.10]	Illumina [up to 550000] (imputed)
12/9/2010	20972440	Houlston RS	10/24/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33."	Colorectal cancer	"3,334 European ancestry cases, 4,628 European ancestry controls"	"14,851 European ancestry cases, 15,569 European ancestry controls"	12q13.12	12	50761880	"DIP2B, ATF1"	LOC105369765			105369765			rs11169552-C	rs11169552		11169552	upstream_gene_variant	0	NR	2.00E-10	9.698970004		1.09	[1.05-1.11]	Illumina [up to 550000] (imputed)
12/9/2010	20972440	Houlston RS	10/24/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20972440	"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33."	Colorectal cancer	"3,334 European ancestry cases, 4,628 European ancestry controls"	"14,851 European ancestry cases, 15,569 European ancestry controls"	20q13.33	20	62345988	LAMA5	LAMA5			3911			rs4925386-C	rs4925386		4925386	intron_variant	0	NR	2.00E-10	9.698970004		1.08	[1.05-1.10]	Illumina [up to 550000] (imputed)
