"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"258","CDC55","YGL190C",49,"10 14",0.0012690270103211,12.155,-0.878,NA,"Non-essential regulatory subunit B of protein phosphatase 2A (PP2A); localization to cytoplasm requires Zds1p and Zds2p and promotes mitotic entry; localization to nucleus prevents mitotic exit; required for correct nuclear division and chromosome segregation in meiosis; maintains nucleolar sequestration of Cdc14p during early meiosis; limits formation of PP2A-Rts1p holocomplexes to ensure timely dissolution of sister chromosome cohesion; homolog of mammalian B55"
"259","HSP78","YDR258C",1022,"7 10 12 14",0.00127653937948484,11.976,-1.007,391,"Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates"
"3014","GRE3","YHR104W",837,"4 5 7 10 12 14",0.00128796467965394,15.587,0.174,NA,"Aldose reductase; involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by the HOG pathway; protein abundance increases in response to DNA replication stress"
"3015","MPM1","YJL066C",1591,"3 4 5 7 10 12 14",0.00129234867108027,10.182,1.031,NA,"Mitochondrial intermembrane space protein of unknown function"
"3016","RDI1","YDL135C",200,"4 5 7 10 12 14",0.0012979424751573,12.127,1.341,2540,"Rho GDP dissociation inhibitor; involved in the localization and regulation of Cdc42p and Rho1p; protein abundance increases in response to DNA replication stress"
"260","GEF1","YJR040W",2478,"4 5 7",0.001301350053972,12.199,-1.095,125,"Voltage-gated chloride channel; localized to the golgi, the endosomal system, and plasma membrane; involved in cation homeostasis; highly homologous to vertebrate voltage-gated chloride channels; modulates TBSV model (+) RNA virus replication by regulating copper metabolism"
"3017","CNM67","YNL225C",3223,"10 12 14",0.00130548064112241,12.936,0.803,NA,"Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3, that arose from the whole genome duplication"
"261","HEM2","YGL040C",3383,"10 12 14",0.00135017402507153,15.421,-0.193,NA,"Aminolevulinate dehydratase; a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus"
"262","NEM1","YHR004C",2054,"4 5 7 10 12 14",0.00135306438552153,9.79,-1.136,NA,"Probable catalytic subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology and sporulation; homolog of the human protein Dullard"
"3018","EFT1","YOR133W",2571,"10 12 14",0.00135340410240892,13.943,0.426,51700,"Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT1 has a paralog, EFT2, that arose from the whole genome duplication"
"3019","ULS1","YOR191W",1298,"4 5 7 10 12 14",0.00138896490704604,11.771,1.312,1420,"Swi2/Snf2-related translocase, SUMO-Targeted Ubiquitin Ligase (STUbL); required for maintenance of NHEJ inhibition at telomeres; functions at telomeres to translocate and ubiquitinylate poly-sumoylated Rap1p for proteosomal degradation; plays role in antagonizing silencing during mating-type switching; only known STUbL with a translocase activity; contains RING finger domain; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"263","FIT2","YOR382W",1075,"7 10 12 14",0.00140617247596793,11.898,-1.143,NA,"Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall "
"3020","TAM41","YGR046W",1270,"4 5 7 10 12 14",0.00141250370217892,11.396,1.117,6260,"Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition"
"3021","KTR1","YOR099W",2460,"12 14",0.00142107795454554,12.847,2.281,NA,"Alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; type II membrane protein; member of the KRE2/MNT1 mannosyltransferase family; relocalizes from vacuole to cytoplasm upon DNA replication stress"
"3022","SLX8","YER116C",1537,"5 7 10 12 14",0.00145501083130389,11.611,1.325,NA,"Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; stimulated by prior attachment of SUMO to the substrate; contains a C-terminal RING domain; forms nuclear foci upon DNA replication stress; null mutants are aneuploid, have a metaphase delay, and spindle defects including: mispositioned spindles, fish hook spindles, and aberrant spindle kinetics; required for maintenance of genome integrity like human ortholog RNF4"
"264","RCK1","YGL158W",3135,"7 10 12 14",0.00145642255680404,11.818,-1.085,NA,"Protein kinase involved in the response to oxidative stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; RCK1 has a paralog, RCK2, that arose from the whole genome duplication"
"265","TSA2","YDR453C",2704,"2 3 7 10 12 14",0.00146189615765574,10.692,-1.014,NA,"Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants; protein abundance increases in response to DNA replication stress; TSA2 has a paralog, TSA1, that arose from the whole genome duplication"
"266","BMH1","YER177W",817,"10 12 14",0.001477360436339,15.973,-0.187,5190,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication"
"3023","SHO1","YER118C",452,"7 10 12 14",0.00148435197901486,14.096,0.342,6140,"Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p, Msb2p, Hkr1p, and Ste11p"
"3024","SWP82","YFL049W",2160,"4 7 10 12 14",0.00149459073783595,11.391,1.131,NA,"Member of the SWI/SNF chromatin remodeling complex; has an as yet unidentified role in the complex; has identifiable counterparts in closely related yeast species; abundantly expressed in many growth conditions; paralog of Npl6p; relocates to the cytosol under hypoxic conditions"
"3025",NA,"YGL101W",2302,"10 12 14",0.00149949130813137,14.689,0.294,672,"Protein of unknown function; non-essential gene; interacts with the DNA helicase Hpr5p; YGL101W has a paralog, YBR242W, that arose from the whole genome duplication"
"267","TSR2","YLR435W",2108,"4 5 7 10 12 14",0.00153032072119254,11.898,-0.943,3490,"Protein with a potential role in pre-rRNA processing"
"268","ADP1","YCR011C",303,"5 7 10 12 14",0.00153152246990962,12.014,-0.984,8170,"Putative ATP-dependent permease of the ABC transporter family"
"3026","TMA108","YIL137C",2846,"7 10 12 14",0.0015795058577529,13.527,0.469,1860,"Ribosome-associated protein that is involved in ribosome biogenesis; putative metalloprotease"
"269","VPS15","YBR097W",827,"10 14",0.00158402740219056,10.874,-1.334,NA,"Serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p; myristoylated; a fraction is localized, with Vps34p, to nuclear pores at nucleus-vacuole junctions and may facilitate transcription elongation for genes positioned at the nuclear periphery"
"270","BIT2","YBR270C",1459,"3 4 5 7 10 12 14",0.0015846146553958,10.663,-1.285,1600,"Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p, homologous PH domain-containing TORC2 substrates; BIT2 has a paralog, BIT61, that arose from the whole genome duplication"
"3027","GLC8","YMR311C",1353,"4 5 7 10 12 14",0.00159078441600834,11.591,1.274,521,"Regulatory subunit of protein phosphatase 1 (Glc7p); involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2; protein abundance increases in response to DNA replication stress"
"271","SPT14","YPL175W",3141,"7 10 12 14",0.00159394806724641,11.539,-1.217,3730,"UDP-glycosyltransferase subunit of the GPI-GnT complex; UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol (GPI) biosynthesis, mutations cause defects in transcription and in biogenesis of cell wall proteins"
"3028",NA,"YML082W",917,"5 7 10 12 14",0.00160983329671753,12.025,1.343,6350,"Putative protein predicted to have carbon-sulfur lyase activity; transcriptionally regulated by Upc2p via an upstream sterol response element; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and the cytoplasm; not an essential gene; YML082W has a paralog, STR2, that arose from the whole genome duplication"
"3029","CNB1","YKL190W",2352,"10 12 14",0.00161296092049381,13.232,0.584,NA,"Calcineurin B; regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (stress-response transcription factor); other calcineurin subunit encoded by CNA1 and/or CMP1; regulates function of Aly1p alpha-arrestin; myristoylation by Nmt1p reduces calcineurin activity in response to submaximal Ca signals, is needed to prevent constitutive phosphatase activity; protein abundance increases in response to DNA replication stress"
"3030","BRR1","YPR057W",1760,"4 5 7 10 12 14",0.00162803897319438,11.828,1.168,45200,"snRNP protein component of spliceosomal snRNPs; required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed"
"272","REX2","YLR059C",2385,"7 10 12 14",0.001636823113985,11.335,-1.286,1620,"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"
"273","HSL1","YKL101W",714,"3 4 5 7",0.00164519890193342,12.331,-1.114,5110,"Nim1p-related protein kinase; regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p"
"3031","RPS4A","YJR145C",2944,"4 5 7 10 12 14",0.0016587655684426,15.271,0.207,NA,"Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication"
"3032",NA,"YGR146C-A",2603,"5 7 10 12 14",0.00170599594426748,11.227,1.152,NA,"Putative protein of unknown function"
"274","RPL7B","YPL198W",2806,"3 4 5 7 10 12 14",0.00173918419928299,14.331,-0.35,358,"Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication"
"275","VID27","YNL212W",1305,"3 4 5 7 10 12 14",0.00174240304964598,13.849,-0.368,300,"Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mutants exhibit normal growth"
"276",NA,"YBR242W",1841,"4 5 7 10 12 14",0.00175919640824447,11.32,-1.096,5170,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene; YBR242W has a paralog, YGL101W, that arose from the whole genome duplication"
"277","THP2","YHR167W",1975,"3 4 5 7 10",0.00176282145911497,12.604,-1.063,51700,"Subunit of the THO and TREX complexes; THO connects transcription elongation and mitotic recombination, and TREX is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance"
"278","TIP20","YGL145W",279,"4 5 7",0.001764581984258,12.101,-1.483,538,"Peripheral membrane protein required for COPI vesicle fusion to the ER; mediates Sey1p-independent homotypic ER fusion; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p"
"3033","TDA8","YAL064C-A",2014,"3 4 5 7 10 12 14",0.00176809336599716,10.236,1.173,2760,"Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene"
"3034",NA,"YDR338C",2546,"4 5 7 10 12 14",0.00176957614324806,10.46,1.174,NA,"Putative protein of unknown function; member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily"
"3035","APC11","YDL008W",113,"3 4 5 7 10 12 14",0.00180487861849861,12.29,1.185,2020,"Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity"
"3036","EMC3","YKL207W",3155,"12 14",0.00183231533302648,15.73,0.18,22300,"Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111"
"279","MAK31","YCR020C-A",2976,"10 14",0.00186022915021759,12.068,-0.935,1940,"Non-catalytic subunit of N-terminal acetyltransferase of the NatC type; required for replication of dsRNA virus; member of the Sm protein family"
"280","RPL35B","YDL136W",2603,"10 12 14",0.00187094946785979,16.123,-0.142,NA,"Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog, RPL35A, that arose from the whole genome duplication"
"3037","HSP33","YOR391C",1404,"3 4 5 7 10 12 14",0.00187334120633734,10.426,1.097,NA,"Possible chaperone and cysteine protease; required for transcriptional reprogramming during the diauxic shift and for survival in stationary phase; similar to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp32p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease and cancer"
"281","AVO2","YMR068W",3426,"4 5 7 10 12 14",0.00195121437581347,10.898,-1.086,259,"Component of a complex containing the Tor2p kinase and other proteins; complex may have a role in regulation of cell growth"
"282","NCR1","YPL006W",2935,"7 10 12 14",0.001956373647302,12.292,-0.995,NA,"Vacuolar membrane protein; transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; cells lacking Ncr1p exhibit high levels of long chain bases (LCB), similar to the accumulation of high amounts of lipids observed in patients with Neimann-Pick C, a disease caused by loss-of-function mutations in NPC1, the functional ortholog of Ncr1p"
"283","RPP2B","YDR382W",1227,"10 12 14",0.00196353761733933,16.025,-0.172,18900,"Ribosomal protein P2 beta; a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P2 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm"
"284","PRP39","YML046W",2464,"4 5 7 10 12",0.00197222636656104,9.276,-1.099,NA,"U1 snRNP protein involved in splicing; contains multiple tetriatricopeptide repeats"
"285","ROT1","YMR200W",2327,"3 4 5",0.00198763271006657,12.851,-1.297,5920,"Molecular chaperone involved in protein folding in ER; mutation causes defects in cell wall synthesis and lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation; transmembrane helix Ser250 is essential for Rot1p to interact with other membrane components and exert its functional role, avoiding exposure of Ser H-bonding group at lipid-exposed surface"
"3038","SLD3","YGL113W",1661,"7 10 12 14",0.00200412249657936,12.246,1.265,736,"Protein involved in the initiation of DNA replication; required for proper assembly of replication proteins at the origins of replication; interacts with Cdc45p; localizes to nuclear foci that become diffuse upon DNA replication stress"
"3039","CHA4","YLR098C",1121,"3 4 5 7 10 14",0.00204370101105472,10.162,0.918,1430,"DNA binding transcriptional activator; mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain"
"3040","GPD2","YOL059W",1405,"4 5 10 12 14",0.00205313772300348,13.996,0.412,2970,"NAD-dependent glycerol 3-phosphate dehydrogenase; expression is controlled by an oxygen-independent signaling pathway required to regulate metabolism under anoxic conditions; located in cytosol and mitochondria; constitutively active but is inactivated via phosphorylation by energy-stress responsive kinase SNF1; GPD2 has a paralog, GPD1, that arose from the whole genome duplication"
"286","AMD1","YML035C",432,"7 10 12 14",0.00209335314310651,15.28,-0.198,5730,"AMP deaminase; tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; thought to be involved in regulation of intracellular purine (adenine, guanine, and inosine) nucleotide pools"
"287","PRS5","YOL061W",562,"12 14",0.00211599930237285,15.241,-0.222,NA,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress"
"288","SDS3","YIL084C",3283,"4 5 7 10 12 14",0.0021223030030799,11.318,-1.203,NA,"Component of the Rpd3L histone deacetylase complex; required for its structural integrity and catalytic activity, involved in transcriptional silencing and required for sporulation; relocalizes to the cytosol in response to hypoxia; cells defective in SDS3 display pleiotropic phenotypes"
"3041","MRS6","YOR370C",1382,"5 7 10 12 14",0.0021236552131071,12.146,1.225,NA,"Rab escort protein; forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); sequence similarity to mammalian choroideraemia gene; relative distribution to the nucleus increases upon DNA replication stress"
"289","ALG9","YNL219C",3129,"4 5 7 10 12 14",0.00215317660531504,11.533,-1.043,2570,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of both the seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; human homolog ALG9 complements yeast null mutant; mutation of human homolog causes type 1 congenital disorders of glycosylation"
"290","ADE17","YMR120C",744,"12 14",0.00215775822895568,16.339,-0.148,7080,"Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine"
"291","FIG4","YNL325C",2443,"4 7 10 12 14",0.00215909729641586,11.583,-1.155,3490,"Phosphatidylinositol 3,5-bisphosphate (PtdIns[3,5]P) phosphatase; required for efficient mating and response to osmotic shock; physically associates with and regulated by Vac14p; contains a SAC1-like domain; homologous to human FIG4, which is associated with CMT4J, a form of Charcot-Marie-Tooth disorder"
"292","YEH2","YLR020C",3191,"3 4 5 7 10",0.00217839056712188,11.614,-1.25,377,"Steryl ester hydrolase; catalyzes steryl ester hydrolysis at the plasma membrane; involved in sterol metabolism; YEH2 has a paralog, YEH1, that arose from the whole genome duplication"
"293","VPS52","YDR484W",2907,"3 4 5",0.00220770843066636,13.706,-0.357,1210,"Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; involved in localization of actin and chitin; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p"
"3042","RPS9A","YPL081W",3026,"7 10 12 14",0.00222250191940093,13.597,0.423,NA,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog, RPS9B, that arose from the whole genome duplication"
"294","MHR1","YDR296W",2244,"3 5 7 10 12",0.00229042035579476,10.271,-1.239,NA,"Mitochondrial ribosomal protein of the large subunit; also involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress"
"295","ANS1","YHR126C",2919,"3 4 5 7 10 12 14",0.00231375807346101,9.841,-1.18,4850,"Putative GPI protein; transcription dependent upon Azf1p"
"296",NA,"YJL068C",880,"7 10 12 14",0.0023227900505422,15.324,-0.204,NA,"Esterase that can function as an S-formylglutathione hydrolase; non-essential intracellular esterase; may be involved in the detoxification of formaldehyde, which can be metabolized to S-formylglutathione; similar to human esterase D"
"3043","MKK1","YOR231W",943,"5 7 10 12 14",0.0023227900505422,10.537,0.994,7430,"MAPKK involved in the protein kinase C signaling pathway; involved in control of cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk2p; MKK1 has a paralog, MKK2, that arose from the whole genome duplication"
"297","TMS1","YDR105C",1889,"4 5 7",0.00232441989354416,12.296,-0.982,NA,"Vacuolar membrane protein of unknown function; is conserved in mammals; predicted to contain eleven transmembrane helices; interacts with Pdr5p, a protein involved in multidrug resistance"
"3044","RAD24","YER173W",43,"5 7 10 12 14",0.00232441989354416,11.55,1.394,NA,"Checkpoint protein; involved in the activation of the DNA damage and meiotic pachytene checkpoints; subunit of a clamp loader that loads Rad17p-Mec3p-Ddc1p onto DNA; homolog of human and S. pombe Rad17 protein"
"298","SPS1","YDR523C",2824,"7 10 12 14",0.00232441989354416,11.038,-1.211,1460,"Putative protein serine/threonine kinase; expressed at the end of meiosis; localized to nucleus and cytoplasm; required for efficient spore packaging and correct localization of enzymes involved in spore wall synthesis; member of the GCKIII subfamily of STE20 family kinases; multiply phosphorylated on serine and threonine residues; interacts genetically and physically with 14-3-3 proteins Bmh1p and Bmh2p and may be regulated by them"
"299","YPQ2","YDR352W",2202,"5 7 10 14",0.00234979208111229,12.139,-0.863,1070,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter"
"3045","USA1","YML029W",2129,"4 5 7 10 12 14",0.00236757559966544,13.675,0.391,471000,"Scaffold subunit of the Hrd1p ubiquitin ligase; also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p"
"3046","HPR1","YDR138W",1713,"4 10 12 14",0.00240567972063359,11.909,1.166,6160,"Subunit of THO/TREX complexes; this complex couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p"
"300","SFT2","YBL102W",641,"3 4 5 7 10 12 14",0.00242210993754794,14.036,-0.515,6670,"Tetra-spanning membrane protein found mostly in the late Golgi; non-essential; can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5"
"301","UTP22","YGR090W",587,"3 4 5 14",0.00242210993754794,12.433,-1.05,2740,"Component of the small-subunit processome; required for nuclear export of tRNAs; may facilitate binding of Utp8p to aminoacylated tRNAs and their delivery to Los1p for export; conserved from yeast to mammals"
"3047","RKI1","YOR095C",2114,"10 12 14",0.00243616708087205,15.741,0.147,768,"Ribose-5-phosphate ketol-isomerase; catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis"
"302","KTI11","YBL071W-A",38,"4 5 10 12 14",0.00244247752352685,11.092,-1.175,1380,"Zn-ribbon protein that co-purifies with Dph1 and Dph2; in a complex required for synthesis of diphthamide on translation factor eEF2 and with Elongator subunits Iki3p, Elp2p, and Elp3p; involved in modification of wobble nucleosides in tRNAs; forms a stable heterodimer with Ats1p"
"303","NNK1","YKL171W",3369,"4 5 7 10 12 14",0.0024427956441402,11.971,-0.872,1970,"Protein kinase; implicated in proteasome function; interacts with TORC1, Ure2 and Gdh2; overexpression leads to hypersensitivity to rapamycin and nuclear accumulation of Gln3; epitope-tagged protein localizes to the cytoplasm"
"304","RPL17B","YJL177W",2623,"7 10 12 14",0.00244762587046399,15.891,-0.191,NA,"Ribosomal 60S subunit protein L17B; homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17B has a paralog, RPL17A, that arose from the whole genome duplication"
"3048","TPS2","YDR074W",333,"7 12 14",0.00247356890561771,14.669,0.275,259,"Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress"
"305","RPL34A","YER056C-A",1599,"7 10 12 14",0.00249787547505417,15.699,-0.166,78700,"Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34A has a paralog, RPL34B, that arose from the whole genome duplication"
"306","PRM6","YML047C",2811,"5 10 14",0.00250128553478224,10.787,-1.089,NA,"Potassium transporter that mediates K+ influx; activates high-affinity Ca2+ influx system (HACS) during mating pheromone response; expression up-regulated in response to alpha factor; regulated by Ste12p during mating; localized to sites of polarized growth; member of a fungal-specific gene family; PRM6 has a paralog, KCH1, that arose from the whole genome duplication"
"3049","SEC72","YLR292C",1262,"4 5 10 12 14",0.00256607031814203,11.778,1.147,96700,"Non-essential subunit of Sec63 complex; with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER; other members are Sec63p, Sec62p, and Sec66p"
"307","VPS9","YML097C",1170,"3 4 5 7 10 12 14",0.00259059666264666,11.546,-1.055,6230,"Guanine nucleotide exchange factor (GEF); involved in vesicle-mediated vacuolar transport, including Golgi-endosome trafficking and sorting through the multivesicular body (MVB); specifically stimulates the intrinsic guanine nucleotide exchange activity of Rab family members (Vps21p/Ypt52p/Ypt53p); partially redundant with GEF MUK1; required for localization of the CORVET complex to endosomes; similar to mammalian ras inhibitors; contains a VPS9 domain; binds ubiquitin"
"3050","MCM1","YMR043W",908,"5 7 10 12",0.0026639781242693,13.671,0.418,NA,"Transcription factor; involved in cell-type-specific transcription and pheromone response; plays a central role in the formation of both repressor and activator complexes; relocalizes to the cytosol in response to hypoxia"
"3051","SKI8","YGL213C",2362,"10 12 14",0.00268399452793591,14.485,0.31,NA,"Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype"
"308","SGN1","YIR001C",2284,"5 7 10 12 14",0.00269740286263834,14.15,-0.347,NA,"Cytoplasmic RNA-binding protein; contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation"
"309","BOI1","YBL085W",805,"5 7 10",0.00274442317975873,12.402,-1.023,4570,"Protein implicated in polar growth; functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; relocalizes from bud neck to cytoplasm upon DNA replication stress; BOI1 has a paralog, BOI2, that arose from the whole genome duplication"
"310","UGA2","YBR006W",56,"10 12 14",0.00274991638008466,15.187,-0.212,830,"Succinate semialdehyde dehydrogenase; involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm"
"311","TOR1","YJR066W",560,"7 10 12 14",0.00274991638008466,10.293,-1.072,6900,"PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis; TOR1 has a paralog, TOR2, that arose from the whole genome duplication"
"312","PML39","YML107C",3332,"7 10 12 14",0.00274991638008466,11.144,-1.132,1560,"Protein required for nuclear retention of unspliced pre-mRNAs; required along with Mlp1p and Pml1p; anchored to nuclear pore complex via Mlp1p and Mlp2p; found with the subset of nuclear pores farthest from the nucleolus; may interact with ribosomes"
"3052","PEX25","YPL112C",2087,"10 12",0.00276070300839593,15.908,0.141,NA,"Peripheral peroxisomal membrane peroxin; required for the regulation of peroxisome size and maintenance, recruits GTPase Rho1p to peroxisomes, induced by oleate, interacts with Pex27p; PEX25 has a paralog, PEX27, that arose from the whole genome duplication"
